Date,Exercise,Set,Reps,Weight
2026-06-01,Chest Fly,1,15,60.0
2026-06-01,Chest Fly,2,12,75.0
2026-06-01,Chest Fly,3,12,82.5
2026-06-01,Incline Bench Press(Smith),1,12,40.0
2026-06-01,Incline Bench Press(Smith),2,10,50.0
2026-06-01,Incline Bench Press(Smith),3,12,50.0
2026-06-01,Cable Lateral Raises,1,24,15.0
2026-06-01,Cable Lateral Raises,2,24,20.0
2026-06-01,Cable Lateral Raises,3,24,20.0
2026-06-01,Tricep Rope Pushdown,1,15,30.0
2026-06-01,Tricep Rope Pushdown,2,15,35.0
2026-06-01,Tricep Rope Pushdown,3,15,35.0
2026-06-01,Single Arm Overhead Tricep Extension,1,24,20.0
2026-06-01,Single Arm Overhead Tricep Extension,2,24,20.0
2026-06-01,Single Arm Overhead Tricep Extension,3,24,20.0
2026-06-13,Bench Press,1,10,70.0
2026-06-13,Bench Press,2,13,70.0
2026-06-14,Incline Db Press,3,15,40.0
2026-06-14,Incline Db Press,3,12,45.0
2026-06-14,Incline Db Press,3,12,60.0
2026-06-14,Lat Pulldown,2,12,65.0
2026-06-14,Lat Pulldown,2,12,65.0
2026-06-16,Chest Fly,1,12,90.0
2026-06-17,Lat Pulldown,3,12,65.0
2026-06-17,Lat Pulldown,3,14,65.0
2026-06-17,Lat Pulldown,3,12,65.0
2026-06-17,Bench Press,2,12,75.0
2026-06-17,Bench Press,2,6,80.0
2026-06-22,Bench Press,3,12,65.0
2026-06-22,Bench Press,3,8,70.0
2026-06-22,Bench Press,3,10,70.0
2026-06-22,Incline Db Press,2,15,40.0
2026-06-22,Incline Db Press,2,12,50.0
2026-06-25,Bicep Curl,3,12,30.0
2026-06-25,Bicep Curl,3,10,35.0
2026-06-25,Bicep Curl,3,10,35.0
2026-06-30,Bench Press,2,12,65.0
2026-06-30,Bench Press,2,8,75.0
2026-06-30,Lat Pulldown,3,12,65.0
2026-06-30,Lat Pulldown,3,12,65.0
2026-06-30,Lat Pulldown,3,12,65.0
2026-06-30,Lat Pulldown,3,12,65.0
2026-06-30,Lat Pulldown,3,12,65.0
2026-06-30,Lat Pulldown,3,12,65.0
2026-06-30,Barbell Curl,3,12,25.0
2026-06-30,Barbell Curl,3,12,25.0
2026-06-30,Barbell Curl,3,12,25.0
2026-06-30,Barbell Row,2,12,50.0
2026-06-30,Barbell Row,2,10,55.0
2026-06-30,Cable Row,1,12,60.0
2026-06-30,Cable Row,2,10,70.0
2026-06-30,Cable Row,3,10,70.0
